source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,"country and with the massive cost reductions I have negotiated on military purchases and more, I believe the people are seeing ""big stuff.""",Tue Jan 17 14:36:26 +0000 2017,10419,56220,FALSE,821365569366671360
Twitter for Android,"John Lewis said about my inauguration, ""It will be the first one that I've missed."" WRONG (or lie)! He boycotted Bush 43 also because he...",Tue Jan 17 14:46:27 +0000 2017,16240,66871,FALSE,821368088935432196
Twitter for Android,"""thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president."" Sound familiar! WP",Tue Jan 17 14:52:39 +0000 2017,13981,64105,FALSE,821369651968012288
Twitter Web Client,"""How Trump Won--And How The Media Missed It"" https://t.co/Hfab41h65X",Tue Jan 17 17:36:45 +0000 2017,11434,42827,FALSE,821410947864653825
Twitter Web Client,Thank you to General Motors and Walmart for starting the big jobs push back into the U.S.!,Tue Jan 17 17:55:38 +0000 2017,21503,103996,FALSE,821415698278875137
Twitter Web Client,"RT @MoskowitzEva: .@BetsyDeVos has the talent, commitment, and leadership capacity to revitalize our public schools and deliver the promise…",Tue Jan 17 19:36:21 +0000 2017,6856,0,TRUE,821441044097224704
Twitter Web Client,"RT @EricTrump: Thank you to @GolfDigest for this incredible feature! ""Golfer-in-Chief"" @RealDonaldTrump https://t.co/vpdY4jNbI4 https://t.c…",Tue Jan 17 19:58:10 +0000 2017,9066,0,TRUE,821446536278274050
Twitter for Android,Will be interviewed by @ainsleyearhardt on @foxandfriends - Enjoy!,Wed Jan 18 11:53:24 +0000 2017,5657,37526,FALSE,821686928680583169
Twitter for Android,"Totally biased @NBCNews went out of its way to say that the big announcement from Ford, G.M., Lockheed &amp; others that jobs are coming back...",Wed Jan 18 12:34:09 +0000 2017,10178,48148,FALSE,821697182235496450
Twitter for Android,"to the U.S., but had nothing to do with TRUMP, is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!",Wed Jan 18 12:44:03 +0000 2017,11518,57775,FALSE,821699672687448064
Twitter for Android,"""Bayer AG has pledged to add U.S. jobs and investments after meeting with President-elect Donald Trump, the latest in a string..."" @WSJ",Wed Jan 18 13:00:51 +0000 2017,11976,58143,FALSE,821703902940827648
Twitter for Android,No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!,Wed Jan 18 13:06:58 +0000 2017,10617,57294,FALSE,821705440178348033
Twitter for Android,.@TheAlabamaBand was great last night in D.C. playing for 147 Diplomats and Ambassadors from countries around the world. Thanks Alabama!,Wed Jan 18 14:03:53 +0000 2017,11370,65795,FALSE,821719763214880769
Twitter for iPhone,"Writing my inaugural address at the Winter White House, Mar-a-Lago, three weeks ago. Looking forward to Friday.… https://t.co/J0ojOXjrga",Wed Jan 18 17:33:25 +0000 2017,21051,107464,FALSE,821772494864580614
Twitter Web Client,"Looking forward to a speedy recovery for George and Barbara Bush, both hospitalized. Thank you for your wonderful letter!",Wed Jan 18 22:21:02 +0000 2017,21141,135864,FALSE,821844875268255744
Twitter for iPhone,Great seeing @TheLeeGreenwood  and Kimberly at this evenings VP dinner! #GodBlessTheUSA https://t.co/SxVmaWvOFT,Thu Jan 19 01:54:13 +0000 2017,10083,64810,FALSE,821898525432811520
Twitter for iPhone,Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.… https://t.co/Qj5cpfaykD,Thu Jan 19 04:01:40 +0000 2017,16320,82131,FALSE,821930600290521089
Twitter for Android,"""It wasn't Donald Trump that divided this country, this country has been divided for a long time!"" Stated today by Reverend Franklin Graham.",Thu Jan 19 12:52:22 +0000 2017,27797,125166,FALSE,822064153426857984
Twitter for Android,"Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..",Thu Jan 19 13:00:13 +0000 2017,25639,150003,FALSE,822066132307808256
Twitter for Android,"the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!",Thu Jan 19 13:02:18 +0000 2017,38818,159832,FALSE,822066653953458177
Twitter for iPhone,On my way! #Inauguration2017 https://t.co/hOuMbxGnpe,Thu Jan 19 20:13:57 +0000 2017,8884,56474,FALSE,822175285151928320
Twitter for Android,Great Concert at 4:00 P.M. today at Lincoln Memorial. Enjoy!,Thu Jan 19 20:18:32 +0000 2017,8392,65389,FALSE,822176438627536897
